POST_ID,id,dmexco_related,reason
6977969782314647552,'6977969782314647552',no,"The post date is 2022-09-20, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7102273106194444288,'7102273106194444288',no,"The post date is August 29, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6975819574743052288,'6975819574743052288',no,"The post date is September 14, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7231196275516280832,'7231196275516280832',no,"The post date is August 19, 2024, which is within 12 months before the event date of September 18, 2024. However, there is no mention of DMEXCO 2024 in the post. The post talks about upcoming events and the excitement of networking and meeting customers at trade shows, but it does not specifically mention DMEXCO 2024 or express any interest or plans related to that specific event."
7050412955766558720,'7050412955766558720',no,"The post date is before the event date and more than 12 months away. Therefore, it is not related to the DMEXCO 2024 event."
7226861669291851777,'7226861669291851777',yes,"The post date is within 12 months before the event date. The post mentions DMEXCO 2024, the HubSpot team, and partners attending the event. It also provides a link to schedule a meeting at the event and includes relevant hashtags."
6968558187239079936,'6968558187239079936',yes,"The post mentions attending DMEXCO 2024, which is the event in question. The post date is within 12 months before the event date."
6977520906008989697,'6977520906008989697',no,"The post date is 2022-09-19, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7244053009842737154,'7244053009842737154',no,"The post date is September 23, 2024, which is within 12 months after the event date of September 18, 2024. However, the post is promoting a series of events organized by Alibaba.com, not specifically related to DMEXCO 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242120557645762560,'7242120557645762560',yes,"The post date is the same as the event date, indicating that it is related to DMEXCO 2024. Additionally, the post mentions sponsorship, attending, and promoting the event, further confirming its relevance to DMEXCO 2024."
7239175465343614976,'7239175465343614976',yes,"The post mentions DMEXCO2024, which is the event in question. The post date is within 12 months before the event date (September 10, 2024 is within 12 months before September 18, 2024)."
7244451047623004160,'7244451047623004160',no,"The post date is September 24, 2024, which is after the event date of DMEXCO 2024 (September 18, 2024). Additionally, the content of the post is related to the InnoTrans2024 rail technology trade fair in Berlin, not DMEXCO 2024."
6978092207471800321,'6978092207471800321',no,"The post date is 2022-09-20, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242068814807343105,'7242068814807343105',yes,"The post date is the same as the event date, indicating that the post is related to DMEXCO 2024. The post also mentions the event name, booth location, and relevant hashtags, further confirming its connection to the event."
7243950001595334656,'7243950001595334656',yes,"The post mentions attending DMEXCO 2024, representing Adipolo at the event, networking, setting goals, and connecting with leads in the Ad tech industry. It also expresses excitement for future cooperation and mentions the event hashtag #DMEXCO2024. The post date is within 12 months after the event date."
7102728161250934784,'7102728161250934784',no,The post date is before the event date and not within 12 months before or after the event date.
7221489970530721792,'7221489970530721792',no,"The post date is July 23, 2024, which is not within 12 months before or after the DMEXCO 2024 event date of September 18, 2024. Additionally, the content of the post is about hosting and presenting at the M&A Club Ottawa event, which is unrelated to DMEXCO."
7028447258345959424,'7028447258345959424',no,"The post date is 2023-02-06, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7064950983834918912,'7064950983834918912',no,"The post date is 2023-05-18, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7231595062709698560,'7231595062709698560',yes,"The post mentions DMEXCO 2024, the event date is within 12 months of the post date, and the content of the post indicates planning to attend, promoting, expressing general interest, and advertising event features."
6979745975078637568,'6979745975078637568',no,"The post date is September 25, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242245705824632832,'7242245705824632832',yes,"The post date is September 18, 2024, which is the same as the event date of DMEXCO 2024. The post mentions being at DMEXCO and celebrating with colleagues, indicating a direct connection to the event."
7051935129694269440,'7051935129694269440',no,"The post date is April 12, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242485360394473473,'7242485360394473473',no,"The post date is September 19, 2024, which is one day after the event date of DMEXCO 2024. Therefore, the post is not related to the event."
7211348141424406530,'7211348141424406530',no,"The post is about attending the SelectUSA Summit in Washington DC, which is not related to DMEXCO 2024."
7092593948812038144,'7092593948812038144',no,"The post date is in 2023, which is not within 12 months before or after the event date of DMEXCO 2024."
7054433200764305408,'7054433200764305408',no,"The post date is April 19, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7229473512279744513,'7229473512279744513',yes,"The post mentions DMEXCO 2024, the event date is within 12 months of the post date, and the content of the post indicates that Seedtag will be attending and promoting their presence at the event."
7111051827873214464,'7111051827873214464',no,"The post date is 2023-09-22, which is more than 12 months before the event date of DMEXCO 2024 (September 18, 2024). Therefore, the post is not related to the DMEXCO 2024 event."
7226521288033411074,'7226521288033411074',yes,"The post date is within 12 months before the event date. The post explicitly mentions DMEXCO 2024, expressing excitement and interest in attending the event. The post also includes relevant hashtags related to the event."
6980532252531171328,'6980532252531171328',no,"The post date is September 27, 2022, which is not within 12 months before or after the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7246157440746942464,'7246157440746942464',no,"The post date is September 29, 2024, which is after the event date of DMEXCO 2024 (September 18, 2024). Therefore, the post is not related to the DMEXCO 2024 event."
6957339770171588608,'6957339770171588608',no,"The post date is 2022-07-25, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6977918411909517312,'6977918411909517312',no,"The post date is September 20, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7175397527574233088,'7175397527574233088',no,"The post is related to iFX Expo México 2024, not DMEXCO 2024."
6975871208059752448,'6975871208059752448',yes,"The post mentions attending DMEXCO 2024 and expresses excitement about meeting partners, potential partners, and old friends at the event. The post also mentions building a data-driven advertising ecosystem specifically for Healthcare Professionals, which aligns with the theme of DMEXCO. Additionally, the post includes relevant hashtags such as #DMEXCO, #HealthyProgrammatic, #healthcare, and #digitalmarketing."
7242945580954488832,'7242945580954488832',yes,"The post date is within 12 months after the event date (2024-09-20 is within 12 months after September 18, 2024). The post mentions attending DMEXCO 2024, meeting partners face-to-face, and learning from the event. Therefore, it is related to the DMEXCO 2024 event."
7242785809651617793,'7242785809651617793',no,"The post date is 2024-09-20, which is within 12 months after the event date of DMEXCO 2024 (September 18, 2024). However, the content of the post does not mention or indicate any connection to DMEXCO 2024. It is primarily about the person's appearance on a podcast and discussing entrepreneurship topics. Therefore, the post is not related to DMEXCO 2024."
7241361204315590656,'7241361204315590656',yes,The post is related to DMEXCO 2024 because the post date is within 12 months before the event date. The post mentions attending DMEXCO and discussing strategies for thriving in the next era of online privacy at the event.
7041019899086819328,'7041019899086819328',no,"The post date is March 13, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242517849217409026,'7242517849217409026',yes,"The post date is September 19, 2024, which is within 12 months after the event date of September 18, 2024. The post mentions DMEXCO 2024, talks about attending the event, and includes relevant hashtags such as #dmexco2024. Therefore, it can be concluded that the post is related to the DMEXCO 2024 event."
6443518399489277952,'6443518399489277952',no,"The post date is before the event date and more than 12 months prior to the event. Therefore, it is not related to DMEXCO 2024."
7114656806538256385,'7114656806538256385',no,"The post date is October 2, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7220050742223474688,'7220050742223474688',no,"The post is related to the UK Light Rail Conference 2024, not DMEXCO 2024."
7028617280137650176,'7028617280137650176',no,"The post date is 2023-02-07, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6967846344526860288,'6967846344526860288',no,"The post date is August 23, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7236394241898291201,'7236394241898291201',yes,"The post date is within 12 months before the event date. The post explicitly mentions attending DMEXCO 2024, expressing excitement, and inviting others to connect at the event."
7216806497857454081,'7216806497857454081',no,"The post date is 2024-07-10, which is more than 2 months before the event date of DMEXCO 2024 (September 18, 2024). Additionally, the post is about attending the INSA 2024 Conference, not DMEXCO 2024."
7049769215305646082,'7049769215305646082',no,"The post date is April 6, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7042220197381861376,'7042220197381861376',no,"The post date is 2023-03-16, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6978371610411950081,'6978371610411950081',no,"The post date is September 21, 2022, which is more than 12 months before the event date of DMEXCO 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7102625489579597825,'7102625489579597825',no,"The post date is August 30, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7112415168541650944,'7112415168541650944',no,"The post date is September 26, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242593080569147393,'7242593080569147393',yes,"The post date is within 12 months after the event date (September 19, 2024), and the post mentions attending the event, giving a keynote, being interviewed about the event, and expressing excitement about seeing everyone again next year at the event."
7010821887484157952,'7010821887484157952',no,"The post date is December 20, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6986018509906456577,'6986018509906456577',no,"The post date is October 12, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7243939451570200576,'7243939451570200576',yes,"The post mentions attending DMEXCO in Cologne, which is the location of the event. It also states that it has been a few years since they last attended, indicating that the event is not in previous years. The post date is within 12 months after the event date, confirming that it is related to DMEXCO 2024."
7242158629527666693,'7242158629527666693',yes,"The post date is the same as the event date (September 18, 2024), and the post mentions #DMEXCO2024, the event name. Additionally, it invites people to meet at the event booth and discuss martech, which is related to the event."
7039142279579594753,'7039142279579594753',no,"The post date is 2023-03-08, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7072128283420602369,'7072128283420602369',no,"The post date is June 7, 2023, which is more than 12 months before the DMEXCO 2024 event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242776325021732864,'7242776325021732864',yes,"The post mentions attending and experiencing DMEXCO 2024, as well as discussing the theme and highlights of the event. The post date is within 12 months after the event date."
7239158204826345472,'7239158204826345472',yes,"The post date is within 12 months before the event date. The post date is 2024-09-10, which is within the timeframe of the DMEXCO 2024 event on September 18, 2024. Additionally, the post mentions organizing this year's DMEXCO and inviting people to meet at DMEXCO in Cologne next week, indicating a direct connection to the event."
6978023344340185090,'6978023344340185090',no,"The post date is September 20, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6434620897214164992,'6434620897214164992',no,"The post date is before the event date and more than 12 months apart. Therefore, it is not related to the DMEXCO 2024 event."
7235217686996078592,'7235217686996078592',yes,"The post mentions the event DMEXCO - Digital Marketing Expo & Conference, which is scheduled for September 18, 2024. The post date is within 12 months before the event date."
7158205355267702784,'7158205355267702784',no,"The post date is January 30, 2024, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7239543054540390400,'7239543054540390400',yes,The post date is within 12 months before the event date. The post date is 2024-09-11 and the event date is 2024-09-18.
6965305845098127361,'6965305845098127361',yes,"The post mentions DMEXCO 2024, specifically stating that the Zappi team will be representing at the event in Cologne, Germany on September 21-22. The post date is within 12 months before the event date, as it is on August 16, 2022."
7242535321198825472,'7242535321198825472',yes,"The post date is within 12 months after the event date, and the post explicitly mentions DMEXCO 2024 in Cologne. The author describes their experience at the event, including networking with industry leaders, discovering innovations and trends in eCommerce, marketing, and sales, and expressing excitement to apply the ideas in future projects and collaborations. The post also mentions specific individuals and companies related to the event. Therefore, it can be concluded that the post is related to DMEXCO 2024."
7241721350208258049,'7241721350208258049',yes,"The post mentions DMEXCO2024 and encourages people to come and join the Masterclass at the event. The post date is September 17, 2024, which is within 12 months before the event date of September 18, 2024."
7026466193393741826,'7026466193393741826',no,The post date is before the event date and not within 12 months before or after the event date.
7051458315465150466,'7051458315465150466',no,The post date is outside the acceptable range of 12 months before or after the event date.
7039154391769079808,'7039154391769079808',no,"The post date is March 8, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7240284710013177856,'7240284710013177856',yes,"The post date is within 12 months before the event date. The post mentions speaking at DMEXCO 2024, provides details about the sessions, and includes relevant hashtags."
7237765052173299712,'7237765052173299712',no,"The post date is 2024-09-06, which is within 12 months before the event date of DMEXCO 2024 (September 18, 2024). However, the post is about the 2024 AnyLogic conference, not DMEXCO 2024. Therefore, the post is not related to DMEXCO 2024."
7239320539398356992,'7239320539398356992',yes,"The post date is within 12 months before the event date. The post explicitly mentions attending DMEXCO 2024, discussing trends and collaboration with publishers and agencies, and scheduling a time to connect at the event. The post also includes relevant hashtags such as #DMEXCO2024 and #dmexco24."
7242468728360058883,'7242468728360058883',yes,"The post date is 2024-09-19, which is within 12 months after the event date of 2024-09-18. The post mentions attending the DMEXCO event, having conversations and taking away valuable insights from the event. It also mentions specific talks and panels that took place at DMEXCO 2024. Therefore, the post is related to the DMEXCO 2024 event."
7040341759645626369,'7040341759645626369',no,"The post date is 2023-03-11, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7232285432204390400,'7232285432204390400',yes,"The post date is within 12 months before the event date (August 22, 2024) and contains mentions of DMEXCO 2024, promoting the event, and inviting people to visit the movingimage team at the event."
7234311493679226880,'7234311493679226880',yes,The post is related to DMEXCO 2024 because it mentions the event location (Cologne) and expresses anticipation of seeing others at the event.
7242792321316999168,'7242792321316999168',no,"The post date is September 20, 2024, which is within 12 months after the event date of September 18, 2024. However, the post is related to the 41st European Photovoltaic Solar Energy Conference and Exhibition (#EUPVSEC2024), not DMEXCO 2024."
7239920814987382784,'7239920814987382784',yes,The post date is within 12 months before the event date. The post date is 2024-09-12 and the event date is 2024-09-18.
7072131477873790976,'7072131477873790976',no,"The post date is June 7, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7029505898523885568,'7029505898523885568',no,"The post date is February 9, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7110184844428488704,'7110184844428488704',no,"The post date is September 20, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7229536871805042691,'7229536871805042691',yes,"The post date is within 12 months before the event date. The post explicitly mentions DMEXCO 2024, including the event dates and hashtags related to the event."
7243161733601660928,'7243161733601660928',yes,"The post date is within 12 months after the event date (September 18, 2024) and mentions DMEXCO 2024, indicating that it is related to the event."
7058890904299806723,'7058890904299806723',no,"The post date is 2023-05-01, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6975813482533294081,'6975813482533294081',no,"The post date is September 14, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7070046930470346753,'7070046930470346753',no,"The post date is June 1, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6978987533577682944,'6978987533577682944',no,"The post date is September 23, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7123652008330342400,'7123652008330342400',no,"The post date is October 27, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242113619058933760,'7242113619058933760',yes,"The post date is September 18, 2024, which is the same as the event date for DMEXCO 2024. The post mentions attending the event and specifically mentions the Agencies Stage at DMEXCO, indicating a direct connection to the event."
6972916315682414592,'6972916315682414592',no,"The post date is September 6, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7117105182366167040,'7117105182366167040',no,"The post date is October 9, 2023, which is more than 12 months before the event date of September 18, 2024. Additionally, the content of the post is unrelated to the DMEXCO event, as it discusses a political situation in Israel."
7231182980398948352,'7231182980398948352',yes,"The post mentions attending DMEXCO 2024, having a booth, connecting with others in the industry, and booking time through the DMEXCO app. The post date is within 12 months before the event date."
7233739099516362752,'7233739099516362752',yes,"The post date is within 12 months before the event date. The post mentions attending DMEXCO 2024, expressing excitement, and inviting others to connect at the event."
7117266508711428096,'7117266508711428096',no,"The post date is October 9, 2023, which is more than 12 months before the DMEXCO 2024 event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6977605597080764416,'6977605597080764416',no,"The post date is September 19, 2022, which is before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7244000132361285634,'7244000132361285634',no,"The post is related to InnoTrans 2024, not DMEXCO 2024."
7250581603213545472,'7250581603213545472',no,The post is not related to DMEXCO 2024. It is about National Women's Small Business Month and supporting women-owned businesses. There is no mention or indication of any connection to DMEXCO 2024.
7070096531525152768,'7070096531525152768',no,"The post date is before the event date and more than 12 months away. Therefore, it is not related to the DMEXCO 2024 event."
7229460756214292481,'7229460756214292481',yes,"The post mentions DMEXCO 2024 and expresses excitement about connecting at the event. It also discusses topics related to the event, such as boosting video strategy and unlocking monetization opportunities."
7231679483550875648,'7231679483550875648',yes,"The post date is within 12 months before the event date. The post explicitly mentions DMEXCO 2024, stating that the author will be speaking at the event and providing details about the topic, time, and location."
7241901526682660864,'7241901526682660864',yes,"The post date is within 12 months before the event date. The post mentions DMEXCO, Hello Cologne, and DMEXCO2024 hashtags, indicating a connection to the DMEXCO 2024 event."
7238084681710120960,'7238084681710120960',yes,"The post is related to DMEXCO 2024 because it mentions the event name, date, and location. The post date is within 12 months before the event date."
7107673352919494656,'7107673352919494656',no,"The post date is September 13, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7234515001355456513,'7234515001355456513',yes,"The post date is within 12 months before the event date. The post mentions meeting at DMEXCO in September, which aligns with the event date of September 18, 2024. The post also mentions having a booth with a product and business team, indicating promotion and attendance at the event."
7241762239710380032,'7241762239710380032',no,"The post date is September 17, 2024, which is within 12 months before the event date of September 18, 2024. However, the post does not mention DMEXCO 2024 or any related keywords. It primarily focuses on thanking customers, partners, and internal teams for their participation in the IBC - International Broadcasting Convention. Therefore, the post is not related to DMEXCO 2024."
7236251621234540544,'7236251621234540544',yes,"The post date is within 12 months before the event date. The post specifically mentions DMEXCO 2024, including details about hosting the Corporate Influencer Summit at the event, providing information about the date, location, and program of the summit, and expressing excitement about attending the event. Therefore, the post is related to the DMEXCO 2024 event."
7195672218234712065,'7195672218234712065',no,"The post date is 2024-05-13, which is before the event date of DMEXCO 2024 (September 18, 2024). Therefore, the post is not related to the DMEXCO 2024 event."
7240282468224827393,'7240282468224827393',yes,"The post date is within 12 months before the event date. The post explicitly mentions DMEXCO 2024, promoting attendance, showcasing innovations, and inviting visitors to explore their technology at the event."
7192126948712562690,'7192126948712562690',no,"The post is related to eComm Live 2024, not DMEXCO 2024. The post mentions eComm Live™ & eComm Awards | eCommerce Events in Belfast and talks about the event being a success and planning for eComm Live 2025. There is no mention of DMEXCO 2024 or any indication of interest, attendance, or promotion of DMEXCO 2024."
7107736929974001665,'7107736929974001665',no,"The post date is September 13, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7240001024256552962,'7240001024256552962',yes,"The post date is within 12 months before the event date. The post date is 2024-09-12 and the event date is September 18, 2024. Therefore, the post is related to DMEXCO 2024."
6577582848100843521,'6577582848100843521',no,"The post date is before the event date and more than 12 months prior to the event. Therefore, it is not related to DMEXCO 2024."
7219793927288053760,'7219793927288053760',yes,"The post mentions the upcoming events that the author will be attending, and one of them is DMEXCO 2024. The event date of DMEXCO 2024 is September 18, 2024, and the post date is July 18, 2024, which is within 12 months before the event date."
7244244194632835072,'7244244194632835072',yes,"The post mentions DMEXCO2024 multiple times and discusses attending the event, presenting a keynote, and engaging with customers and partners during the event. The post date is within 12 months after the event date."
7241452944108244992,'7241452944108244992',yes,The post date is within 12 months before the event date. The post explicitly mentions joining this year's DMEXCO event in Cologne and provides information about a workshop being held during the event.
6534718812716179456,'6534718812716179456',no,"The post date is before the event date and more than 12 months prior to the event. Therefore, it is not related to DMEXCO 2024."
7104718454519156736,'7104718454519156736',no,"The post date is September 5, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7245072257989980160,'7245072257989980160',yes,"The post date is within 12 months after the event date (2024-09-26 is within 12 months after September 18, 2024). The post explicitly mentions DMEXCO 2024, including hashtags related to the event. The content of the post also indicates that it is a recap of the event, expressing gratitude to those who attended and mentioning the success of the event."
7239861551753560064,'7239861551753560064',yes,"The post date is within 12 months before the event date. The post mentions speaking at DMEXCO 2024, joining a fireside chat, and promoting the session on the Main Stage. It also mentions visiting the Shopware booth at Stand D-019. The hashtags used in the post include #DMEXCO2024, #FutureOfCommerce, #Ecommerce, #AI, #CustomerExperience, and #Shopware, which are all related to the DMEXCO event."
7237233590546087937,'7237233590546087937',yes,"The post date is within 12 months before the event date. The post mentions DMEXCO - Digital Marketing Expo & Conference, which is the event name. It provides details about a Masterclass happening at DMEXCO on September 18, 2024. It encourages registration and attendance at the event."
7244386871886196736,'7244386871886196736',yes,"The post mentions attending DMEXCO - Digital Marketing Expo & Conference in Cologne, which is the event DMEXCO 2024. The post date is within 12 months after the event date."
6714233679608074240,'6714233679608074240',yes,"The post mentions attending a masterclass at DMEXCO - Digital Marketing Expo & Conference on September 23rd, which is within 12 months after the event date of September 18, 2024."
7244259437249458176,'7244259437249458176',no,"The post date is September 24, 2024, which is within 12 months after the event date of September 18, 2024. However, the content of the post does not mention DMEXCO 2024 or show any direct connection to the event. The post is about speaking on a panel in Dubai regarding identity, authentication, and fraud prevention. It mentions the Identity, Authentication, and Fraud Prevention Conference happening in Dubai on September 26, but there is no mention of DMEXCO 2024. Therefore, the post is not related to DMEXCO 2024."
7156784693428830208,'7156784693428830208',no,"The post date is January 26, 2024, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6973210803055247360,'6973210803055247360',no,"The post date is September 7, 2022, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7250232546943188992,'7250232546943188992',no,"The post date is October 10, 2024, which is within 12 months after the event date of September 18, 2024. However, the post is about SparkTogether 2024, not DMEXCO 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7236649916444389376,'7236649916444389376',yes,"The post date is within 12 months before the event date. The post explicitly mentions attending DMEXCO 2024, promoting Clearcode's presence at the event, and providing information about their booth location and scheduled masterclass. The post also includes relevant hashtags related to DMEXCO 2024 and digital marketing."
7242072129125421056,'7242072129125421056',yes,"The post date is within 12 months before the event date. The post mentions the event name 'DMEXCO2024' and provides details about the event schedule and topics, including a specific mention of a session about TikTok, which is related to the event theme."
7111664812366934016,'7111664812366934016',no,"The post date is September 24, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to DMEXCO 2024."
7109610185811206144,'7109610185811206144',no,"The post date is September 18, 2023, which is one year before the event date of DMEXCO 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7238803361058238464,'7238803361058238464',yes,The post date is within 12 months before the event date. The post date is 2024-09-09 and the event date is 2024-09-18.
7236285452046020608,'7236285452046020608',yes,"The post date is within 12 months before the event date (September 2, 2024) and mentions DMEXCO - Digital Marketing Expo & Conference, expressing interest in meeting at the event and discussing industry challenges at the Microsoft Advertising booth."
7188884080631967745,'7188884080631967745',no,"The post date is April 24, 2024, which is more than 4 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242118604836487168,'7242118604836487168',yes,"The post contains the hashtag #dmexco2024, indicating that it is related to the DMEXCO 2024 event. Additionally, the post date is the same as the event date, September 18, 2024."
7065341341316050944,'7065341341316050944',no,The post date is outside the acceptable range of 12 months before or after the event date.
7039168327302184960,'7039168327302184960',no,"The post date is March 8, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7104841710844661760,'7104841710844661760',no,"The post date is September 5, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7124323273365962752,'7124323273365962752',no,"The post date is October 29, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7064262404334903297,'7064262404334903297',no,"The post date is 2023-05-16, which is more than 12 months before the event date of DMEXCO 2024 (September 18, 2024). Therefore, the post is not related to the DMEXCO 2024 event."
7244643054236626944,'7244643054236626944',yes,The post mentions #DMEXCO2024 and expresses excitement about the event. The post date is within 12 months after the event date.
7238816396019732482,'7238816396019732482',yes,"The post is related to DMEXCO 2024 because the post date is within 12 months before the event date. The post explicitly mentions attending DMEXCO 2024, connecting with others at the event, and expressing excitement about seeing familiar faces and making new connections."
7241737658740146177,'7241737658740146177',yes,"The post date is within 12 months before the event date. The post explicitly mentions DMEXCO 2024, expresses excitement about the event, and mentions specific details such as reconnecting and networking with others at the event, personal highlight talk with Louise Stodtko, and the event hashtag #DMEXCO2024. Therefore, it can be concluded that the post is related to the DMEXCO 2024 event."
7179490216322174976,'7179490216322174976',no,"The post date is 2024-03-29, which is before the event date of DMEXCO 2024 (September 18, 2024). Therefore, the post is not related to the DMEXCO 2024 event."
7071368262739001344,'7071368262739001344',no,"The post date is June 5, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7059028739493371904,'7059028739493371904',no,"The post date is 2023-05-02, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6868938425941151744,'6868938425941151744',no,The post date is outside the acceptable range of 12 months before or after the event date.
